"VideoURL";"Speaker";"AvailableSubtitlesCount";"Duraton";"TimeFilmed";"TalkViewsCount";"TalkCommentsCount"
"https://www.ted.com/talks/paul_greenberg_the_four_fish_we_re_overeating_and_what_to_eat_instead";"Paul Greenberg";"22";"14:24";"Oct 2015";"1,476,162";"69"
"https://www.ted.com/talks/peggy_orenstein_what_young_women_believe_about_their_own_sexual_pleasure";"Peggy Orenstein";"14";"17:00";"Oct 2016";"1,355,014";"92"
"https://www.ted.com/talks/pope_francis_why_the_only_future_worth_building_includes_everyone";"His Holiness Pope Francis";"26";"17:52";"Apr 2017";"2,201,916";"192"
"https://www.ted.com/talks/raffaello_d_andrea_meet_the_dazzling_flying_machines_of_the_future";"Raffaello D'Andrea";"26";"11:35";"Feb 2016";"2,276,675";"58"
"https://www.ted.com/talks/rebecca_brachman_could_a_drug_prevent_depression_and_ptsd";"Rebecca Brachman";"17";"18:23";"Sep 2016";"1,070,978";"79"
"https://www.ted.com/talks/reshma_saujani_teach_girls_bravery_not_perfection";"Reshma Saujani";"34";"12:39";"Feb 2016";"3,172,570";"134"
"https://www.ted.com/talks/richard_dawkins_on_our_queer_universe";"Richard Dawkins";"36";"21:56";"Jul 2005";"2,831,498";"503"
"https://www.ted.com/talks/robert_fischell_on_medical_inventing";"Robert Fischell";"20";"26:49";"Feb 2005";"372,143";"33"
"https://www.ted.com/talks/robert_sapolsky_the_biology_of_our_best_and_worst_selves";"Robert Sapolsky";"3";"15:51";"Apr 2017";"327,081";"89"
"https://www.ted.com/talks/robert_waldinger_what_makes_a_good_life_lessons_from_the_longest_study_on_happiness";"Robert Waldinger";"42";"12:46";"Nov 2015";"14,457,033";"516"
"https://www.ted.com/talks/ross_lovegrove_shares_organic_designs";"Ross Lovegrove";"22";"19:30";"Feb 2005";"1,049,863";"163"
"https://www.ted.com/talks/russ_altman_what_really_happens_when_you_mix_medications";"Russ Altman";"29";"14:41";"Nov 2015";"1,557,696";"68"
"https://www.ted.com/talks/rutger_bregman_poverty_isn_t_a_lack_of_character_it_s_a_lack_of_cash";"Rutger Bregman";"2";"14:58";"Apr 2017";"172,289";"63"
